"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","1,501.00","1,501.00","1,501.00","1,501.00","","0.27%"
"03/28/2025","1,497.00","1,497.00","1,497.00","1,497.00","","10.32%"
"03/20/2025","1,357.00","1,357.00","1,357.00","1,357.00","","36.79%"
"03/06/2025","992.00","992.00","992.00","992.00","","-0.80%"
"03/05/2025","1,000.00","1,000.00","1,000.00","1,000.00","","-2.34%"
"03/04/2025","1,024.00","1,024.00","1,024.00","1,024.00","","-2.01%"
"03/03/2025","1,045.00","1,045.00","1,045.00","1,045.00","","-1.69%"
"02/28/2025","1,063.00","1,063.00","1,063.00","1,063.00","","-2.66%"
"02/27/2025","1,092.00","1,092.00","1,092.00","1,092.00","","-3.19%"
"02/26/2025","1,128.00","1,128.00","1,128.00","1,128.00","","-2.42%"
"02/25/2025","1,156.00","1,156.00","1,156.00","1,156.00","","-1.78%"
"02/24/2025","1,177.00","1,177.00","1,177.00","1,177.00","","0.60%"
"02/21/2025","1,170.00","1,170.00","1,170.00","1,170.00","","2.27%"
"02/20/2025","1,144.00","1,144.00","1,144.00","1,144.00","","3.62%"
"02/19/2025","1,104.00","1,104.00","1,104.00","1,104.00","","5.95%"
"02/18/2025","1,042.00","1,042.00","1,042.00","1,042.00","","4.51%"
"02/17/2025","997.00","997.00","997.00","997.00","","1.73%"
"02/14/2025","980.00","980.00","980.00","980.00","","0.62%"
"02/13/2025","974.00","974.00","974.00","974.00","","-0.92%"
"02/12/2025","983.00","983.00","983.00","983.00","","-2.77%"
"02/11/2025","1,011.00","1,011.00","1,011.00","1,011.00","","-1.65%"
"02/10/2025","1,028.00","1,028.00","1,028.00","1,028.00","","-0.68%"
"02/07/2025","1,035.00","1,035.00","1,035.00","1,035.00","","0.58%"
"02/06/2025","1,029.00","1,029.00","1,029.00","1,029.00","","4.15%"
"02/05/2025","988.00","988.00","988.00","988.00","","9.66%"
"02/04/2025","901.00","901.00","901.00","901.00","","8.55%"
"02/03/2025","830.00","830.00","830.00","830.00","","3.75%"
"01/31/2025","800.00","800.00","800.00","800.00","","4.30%"
"01/30/2025","767.00","767.00","767.00","767.00","","2.13%"
"01/29/2025","751.00","751.00","751.00","751.00","","0.40%"
"01/28/2025","748.00","748.00","748.00","748.00","","-1.45%"
"01/27/2025","759.00","759.00","759.00","759.00","","-1.94%"
"01/24/2025","774.00","774.00","774.00","774.00","","-3.73%"
"01/23/2025","804.00","804.00","804.00","804.00","","-4.63%"
"01/22/2025","843.00","843.00","843.00","843.00","","-3.55%"
"01/21/2025","874.00","874.00","874.00","874.00","","-2.13%"
"01/20/2025","893.00","893.00","893.00","893.00","","-0.45%"
"01/17/2025","897.00","897.00","897.00","897.00","","0.11%"
"01/16/2025","896.00","896.00","896.00","896.00","","0.22%"
"01/15/2025","894.00","894.00","894.00","894.00","","-1.32%"
"01/14/2025","906.00","906.00","906.00","906.00","","-2.16%"
"01/13/2025","926.00","926.00","926.00","926.00","","-2.83%"
"01/10/2025","953.00","953.00","953.00","953.00","","-3.93%"
"01/09/2025","992.00","992.00","992.00","992.00","","-4.34%"
"01/08/2025","1,037.00","1,037.00","1,037.00","1,037.00","","-2.26%"
"01/07/2025","1,061.00","1,061.00","1,061.00","1,061.00","","0.00%"
"01/06/2025","1,061.00","1,061.00","1,061.00","1,061.00","","2.02%"
"01/03/2025","1,040.00","1,040.00","1,040.00","1,040.00","","4.00%"
"01/02/2025","1,000.00","1,000.00","1,000.00","1,000.00","","1.21%"
"12/24/2024","988.00","988.00","988.00","988.00","","0.82%"
"12/23/2024","980.00","980.00","980.00","980.00","","0.41%"
"12/20/2024","976.00","976.00","976.00","976.00","","1.24%"
"12/19/2024","964.00","964.00","964.00","964.00","","0.73%"
"12/18/2024","957.00","957.00","957.00","957.00","","-0.21%"
"12/17/2024","959.00","959.00","959.00","959.00","","-1.84%"
"12/16/2024","977.00","977.00","977.00","977.00","","-1.81%"
"12/13/2024","995.00","995.00","995.00","995.00","","-2.55%"
"12/12/2024","1,021.00","1,021.00","1,021.00","1,021.00","","-3.04%"
"12/11/2024","1,053.00","1,053.00","1,053.00","1,053.00","","-2.23%"
"12/10/2024","1,077.00","1,077.00","1,077.00","1,077.00","","-0.19%"
"12/09/2024","1,079.00","1,079.00","1,079.00","1,079.00","","1.12%"
"12/06/2024","1,067.00","1,067.00","1,067.00","1,067.00","","2.60%"
"12/05/2024","1,040.00","1,040.00","1,040.00","1,040.00","","2.56%"
"12/04/2024","1,014.00","1,014.00","1,014.00","1,014.00","","0.90%"
"12/03/2024","1,005.00","1,005.00","1,005.00","1,005.00","","-0.40%"
"12/02/2024","1,009.00","1,009.00","1,009.00","1,009.00","","-0.88%"
"11/29/2024","1,018.00","1,018.00","1,018.00","1,018.00","","-0.97%"
"11/28/2024","1,028.00","1,028.00","1,028.00","1,028.00","","-1.53%"
"11/27/2024","1,044.00","1,044.00","1,044.00","1,044.00","","-1.14%"
"11/26/2024","1,056.00","1,056.00","1,056.00","1,056.00","","-1.12%"
"11/25/2024","1,068.00","1,068.00","1,068.00","1,068.00","","-1.39%"
"11/22/2024","1,083.00","1,083.00","1,083.00","1,083.00","","-2.08%"
"11/21/2024","1,106.00","1,106.00","1,106.00","1,106.00","","-2.81%"
"11/20/2024","1,138.00","1,138.00","1,138.00","1,138.00","","-2.82%"
"11/19/2024","1,171.00","1,171.00","1,171.00","1,171.00","","-2.58%"
"11/18/2024","1,202.00","1,202.00","1,202.00","1,202.00","","-0.83%"
"11/15/2024","1,212.00","1,212.00","1,212.00","1,212.00","","-0.08%"
"11/14/2024","1,213.00","1,213.00","1,213.00","1,213.00","","0.41%"
"11/13/2024","1,208.00","1,208.00","1,208.00","1,208.00","","1.17%"
"11/12/2024","1,194.00","1,194.00","1,194.00","1,194.00","","1.02%"
"11/11/2024","1,182.00","1,182.00","1,182.00","1,182.00","","0.51%"
"11/08/2024","1,176.00","1,176.00","1,176.00","1,176.00","","-0.17%"
"11/07/2024","1,178.00","1,178.00","1,178.00","1,178.00","","-0.59%"
"11/06/2024","1,185.00","1,185.00","1,185.00","1,185.00","","-0.50%"
"11/05/2024","1,191.00","1,191.00","1,191.00","1,191.00","","-0.33%"
"11/04/2024","1,195.00","1,195.00","1,195.00","1,195.00","","-0.33%"
"11/01/2024","1,199.00","1,199.00","1,199.00","1,199.00","","-0.42%"
"10/31/2024","1,204.00","1,204.00","1,204.00","1,204.00","","0.17%"
"10/30/2024","1,202.00","1,202.00","1,202.00","1,202.00","","0.59%"
"10/29/2024","1,195.00","1,195.00","1,195.00","1,195.00","","0.42%"
"10/28/2024","1,190.00","1,190.00","1,190.00","1,190.00","","-0.92%"
"10/25/2024","1,201.00","1,201.00","1,201.00","1,201.00","","-1.23%"
"10/24/2024","1,216.00","1,216.00","1,216.00","1,216.00","","-1.78%"
"10/23/2024","1,238.00","1,238.00","1,238.00","1,238.00","","-1.75%"
"10/22/2024","1,260.00","1,260.00","1,260.00","1,260.00","","-1.41%"
"10/21/2024","1,278.00","1,278.00","1,278.00","1,278.00","","-0.54%"
"10/18/2024","1,285.00","1,285.00","1,285.00","1,285.00","","-0.23%"
"10/17/2024","1,288.00","1,288.00","1,288.00","1,288.00","","-1.60%"
"10/16/2024","1,309.00","1,309.00","1,309.00","1,309.00","","-4.03%"
"10/15/2024","1,364.00","1,364.00","1,364.00","1,364.00","","-3.19%"
"10/14/2024","1,409.00","1,409.00","1,409.00","1,409.00","","-1.81%"
"10/11/2024","1,435.00","1,435.00","1,435.00","1,435.00","","-1.37%"
"10/10/2024","1,455.00","1,455.00","1,455.00","1,455.00","","-0.14%"
"10/09/2024","1,457.00","1,457.00","1,457.00","1,457.00","","1.11%"
"10/08/2024","1,441.00","1,441.00","1,441.00","1,441.00","","1.84%"
"10/07/2024","1,415.00","1,415.00","1,415.00","1,415.00","","1.95%"
"10/04/2024","1,388.00","1,388.00","1,388.00","1,388.00","","1.54%"
"10/03/2024","1,367.00","1,367.00","1,367.00","1,367.00","","0.22%"
"10/02/2024","1,364.00","1,364.00","1,364.00","1,364.00","","-1.59%"
"10/01/2024","1,386.00","1,386.00","1,386.00","1,386.00","","-1.98%"
"09/30/2024","1,414.00","1,414.00","1,414.00","1,414.00","","-2.21%"
"09/27/2024","1,446.00","1,446.00","1,446.00","1,446.00","","-3.47%"
"09/26/2024","1,498.00","1,498.00","1,498.00","1,498.00","","-2.92%"
"09/25/2024","1,543.00","1,543.00","1,543.00","1,543.00","","-1.09%"
"09/24/2024","1,560.00","1,560.00","1,560.00","1,560.00","","0.52%"
"09/23/2024","1,552.00","1,552.00","1,552.00","1,552.00","","0.91%"
"09/20/2024","1,538.00","1,538.00","1,538.00","1,538.00","","0.65%"
"09/19/2024","1,528.00","1,528.00","1,528.00","1,528.00","","1.73%"
"09/18/2024","1,502.00","1,502.00","1,502.00","1,502.00","","2.46%"
"09/17/2024","1,466.00","1,466.00","1,466.00","1,466.00","","1.66%"
"09/16/2024","1,442.00","1,442.00","1,442.00","1,442.00","","0.98%"
"09/13/2024","1,428.00","1,428.00","1,428.00","1,428.00","","1.85%"
"09/12/2024","1,402.00","1,402.00","1,402.00","1,402.00","","3.39%"
"09/11/2024","1,356.00","1,356.00","1,356.00","1,356.00","","2.96%"
"09/10/2024","1,317.00","1,317.00","1,317.00","1,317.00","","1.15%"
"09/09/2024","1,302.00","1,302.00","1,302.00","1,302.00","","0.62%"
"09/06/2024","1,294.00","1,294.00","1,294.00","1,294.00","","0.00%"
"09/05/2024","1,294.00","1,294.00","1,294.00","1,294.00","","-0.46%"
